ASIN,Reviews,Titles,Ratings,Product_Names
B07HGJJ559,"[""\n\n  Update (15/08/2020):Never give a chance to regret..  Go ahead...👍The Icons looks was not so great ..  And then I set 'Spherlue Icons' from theam and now its looks better with dark mode ...Even though its 6000 Mah I always leaves phone on charging before go to bed ( I like to see my phone 100% every morning 🙂 )..  So I turned off fast charging option.. You can do that.. Its will not affect  batteryMONSTER :1. Battery :- 5/5Two day battery standby for normal easy2.Display:- 4.99/5Super amaload with full hd.. Superb Display3.Design:3/5It has a6000Mah battery,  still looking not bulky. Noglass body,  but who cares after you put a back cover..  In my opinion, don't spend more money for glass body if you uses back covers4. Camera: 3/5Back camera pretty good but front camera's low light output is very low..  many features available such as slow and super slow videos available..5. OS&UI:- 5/5Android 10 with One UI6.Finger print reader and face lock 3/5 Face lock and finger print reader are not so fast7.Processor and performance 3.5/5Exynos 9611 is not meant for PUBG gamers  .. But for me its perfect as I am not a heavy gamer..  No lag ang hang till now..  but processor is outdated..8. Charging :2.5/5. No fast charging.. Provided with a 15W charger and iy takes about 3 Hrs to fully reacharge the phone9. Accessories : 2/5No earphone, No Back cover, No Screenguard..  So order backcover and tempered glass when you placing order as its backbody is plastic amd more prone to scratches..10.Loud speaker 1.5/5Loudspeaker sound level is very low.. (Keep earphones)Verdict: For this price  Its the best choice if you are not a hardcore gamer  ...\n\nRead more""]",['\nValue For Money !! Go for it\n'],['4.2 out of 5 stars'],"['\n\n\n\n\n\n\n\nSamsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)\n\n\n\n\n\n\n']"
B07X4R63DF,"['\n\n  \xa0Defective product shipped.. reported within a  few  hours of receipt and no one showed up for inspection despite several follow ups. Now, it is not being replaced or refunded. Horrible experience!!\n\nRead more']","[""\nPray you don't receive a defective product\n""]",['4.0 out of 5 stars'],"['\n\n\n\n\n\n\n\nRedmi 8A Dual (Sea Blue, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery\n\n\n\n\n\n\n']"
B086KCCMCP,['\n\n  Damaged product\n\nRead more'],['\nVery chipper quality\n'],['3.9 out of 5 stars'],"['\n\n\n\n\n\n\n\nSamsung Galaxy M01 (Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers\n\n\n\n\n\n\n']"
B089MQ622N,"[""\n\n  Thank you samsung and Amazon for timely rakshabandhan delivery.Now for readers this is a review unbiased and written after testing and continuous usage :-Pro's1.Screen ppi is great as entry level device✌2.Battery backup is awesome thanks to samsungs R&D even with .7mamp charger.👀3.Android go version 10 is cute without craps4.Reading pdfs is easy and comfort for eyes atleast samsung has guts to say the truth.5.No lag till now because i dont need gaming other than that all regular even without go apps are nicely running.6.fingerprint and face lock i dont need so good they are not provided.7.Call quality is okay.Speaker is normal.8.For music lovers dowload any music app with equilizer will be fine.9.16gb/32gb and sd card is okay.10.Auto smart memory cleaner(use smart manager in settings once a day) for smooth RAM functioning and ROM cleaning🤗11. Supports OTG as well.Cons1. Camera below average still expected but samsung should work more on this front if they wanna beat chinese phones.2.Not for gamers and thats expected buy a 4gb Ram 🤔 based phone why reading me?😉3.finger print and face lock missing I Can manage but most indians can't.4.Battery takes 3.15 hours to charge to work for 12 hours of calling and surfing and thats not bad at all but can be issue for chinese phone lovers who have habit of charging again and again to play pubg.Overall out of 5.Camera-2  Gui-4  Screen ppi-5  speed-4  android-4Don't buy a phone only because of specifications must see integration and longevity overall a nice secondary option and primary for featured phone switchers.\n\nRead more""]",['\n#samsunghitsbullseye\n'],['3.1 out of 5 stars'],"['\n\n\n\n\n\n\n\nSamsung Galaxy M01 Core (Black, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers\n\n\n\n\n\n\n']"
B07HGGYWL6,"['\n\n  Best camera, very good battery life, eat body material, average weight, best performance,  best display.\n\nRead more']",['\nSamsung m31 all rounder  best mobile.\n'],['4.2 out of 5 stars'],"['\n\n\n\n\n\n\n\nSamsung Galaxy M31 (Ocean Blue, 6GB RAM, 128GB Storage)\n\n\n\n\n\n\n']"
B07SDPJ4XJ,"['\n\n  Brought this phone for my wife who is die hard fan for oppo...Offer like 2000 extra off on exchange with Oppo is just like waww....So after exchange of her old oppo mobile I got this phone for just Rs.6800.... Best phone if u want oppo brand name and u are boared to ur old oppo phone... So this review is considering 6800 cost...Pros.1) good features considering cost 6800.2) Size matters 6.5 inch grt3) Speakers are good Dolby4) Comes with classic headphones with good looks and decent sound quality... No other phones now a days comes with headphones...5) Quad camera gives good quality photos...6) Selfie camera is also decent considering cost 68007) 5000mAh battery8) can be use as power bank for other phonesCons:1) Original cost 13990 is huge considering features...Other good brands like MI, VIVO, MOTO, etc sells 48MP camera phones for 12000 and so...2) Accessories like back cover, tempered glass are yet not in market... May be u have to wait for them...Though 1 transparent back cover is included in Mobile Box...This is all about this phone after 24hrs use....I will update if something comes...\n\nRead more']",['\nGood opportunity for oppo lovers to upgrade\n'],['4.2 out of 5 stars'],"['\n\n\n\n\n\n\n\nOPPO A5 2020 (Dazzling White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers\n\n\n\n\n\n\n']"
B07HGH8D2R,"[""\n\n  Update (15/08/2020):Never give a chance to regret..  Go ahead...👍The Icons looks was not so great ..  And then I set 'Spherlue Icons' from theam and now its looks better with dark mode ...Even though its 6000 Mah I always leaves phone on charging before go to bed ( I like to see my phone 100% every morning 🙂 )..  So I turned off fast charging option.. You can do that.. Its will not affect  batteryMONSTER :1. Battery :- 5/5Two day battery standby for normal easy2.Display:- 4.99/5Super amaload with full hd.. Superb Display3.Design:3/5It has a6000Mah battery,  still looking not bulky. Noglass body,  but who cares after you put a back cover..  In my opinion, don't spend more money for glass body if you uses back covers4. Camera: 3/5Back camera pretty good but front camera's low light output is very low..  many features available such as slow and super slow videos available..5. OS&UI:- 5/5Android 10 with One UI6.Finger print reader and face lock 3/5 Face lock and finger print reader are not so fast7.Processor and performance 3.5/5Exynos 9611 is not meant for PUBG gamers  .. But for me its perfect as I am not a heavy gamer..  No lag ang hang till now..  but processor is outdated..8. Charging :2.5/5. No fast charging.. Provided with a 15W charger and iy takes about 3 Hrs to fully reacharge the phone9. Accessories : 2/5No earphone, No Back cover, No Screenguard..  So order backcover and tempered glass when you placing order as its backbody is plastic amd more prone to scratches..10.Loud speaker 1.5/5Loudspeaker sound level is very low.. (Keep earphones)Verdict: For this price  Its the best choice if you are not a hardcore gamer  ...\n\nRead more""]",['\nValue For Money !! Go for it\n'],['4.2 out of 5 stars'],"['\n\n\n\n\n\n\n\nSamsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)\n\n\n\n\n\n\n']"
B07X1KSLC3,"['\n\n  \xa0Defective product shipped.. reported within a  few  hours of receipt and no one showed up for inspection despite several follow ups. Now, it is not being replaced or refunded. Horrible experience!!\n\nRead more']","[""\nPray you don't receive a defective product\n""]",['4.0 out of 5 stars'],"['\n\n\n\n\n\n\n\nRedmi 8A Dual (Midnight Grey, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery\n\n\n\n\n\n\n']"
B07WPVLKPW,"['\n\n  \xa0Defective product shipped.. reported within a  few  hours of receipt and no one showed up for inspection despite several follow ups. Now, it is not being replaced or refunded. Horrible experience!!\n\nRead more']","[""\nPray you don't receive a defective product\n""]",['4.0 out of 5 stars'],"['\n\n\n\n\n\n\n\nRedmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery\n\n\n\n\n\n\n']"
B086977TR6,['\n\n  Dont buy.. after 10 to.15 mins gaming phone lagging too much\n\nRead more'],['\nDont buy.. after 10 to.15 mins gaming phone lagging too much\n'],['4.2 out of 5 stars'],"['\n\n\n\n\n\n\n\nRedmi Note 9 (Pebble Grey, 4GB RAM 64GB Storage) - 48MP Quad Camera & Full HD+ Display - 3 Months No Cost EMI on BFL\n\n\n\n\n\n\n']"
B077PWBC78,"[""\n\n  PLZZ read this complete information before buying from AmazonThey do not refund if your product got defected.Amazon is worst in providing services so if you have any option to buy from Flipkart then go there. Don't waste your time on AmazonRegarding mobileWorst mobile i have ever seenBattery charging time is more than expected.Battery drainaing problem is thereCamera will stuck when you click pictures.Poor camera quality they said 48 mp but it's like 12mp.  If you are game lover then PLZZ try another mobile. Performance is very low.I told Amazon customer care to take this product back but they are not helping me instead they want me to go service center in covid19 situation which is in red zone. They can't provide home visit because their technician life is more important than customer. If customer get infected it's ok for them.Thanks Amazon for this service now i hate Amazon more than tiktok.Unistalling the app right now. And also recommending my friend's and relatives to not buy anything from Amazon, they are worst.\n\nRead more""]",['\nPLZZ read this before Wasting your money.\n'],['4.2 out of 5 stars'],"['\n\n\n\n\n\n\n\nRedmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI\n\n\n\n\n\n\n']"
B07X3P1N3H,"['\n\n  \xa0Defective product shipped.. reported within a  few  hours of receipt and no one showed up for inspection despite several follow ups. Now, it is not being replaced or refunded. Horrible experience!!\n\nRead more']","[""\nPray you don't receive a defective product\n""]",['4.0 out of 5 stars'],"['\n\n\n\n\n\n\n\nRedmi 8A Dual (Sky White, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery\n\n\n\n\n\n\n']"
B086KCDGTQ,['\n\n  Damaged product\n\nRead more'],['\nVery chipper quality\n'],['3.9 out of 5 stars'],"['\n\n\n\n\n\n\n\nSamsung Galaxy M01 (Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers\n\n\n\n\n\n\n']"
B07HGH88GL,"[""\n\n  Update (15/08/2020):Never give a chance to regret..  Go ahead...👍The Icons looks was not so great ..  And then I set 'Spherlue Icons' from theam and now its looks better with dark mode ...Even though its 6000 Mah I always leaves phone on charging before go to bed ( I like to see my phone 100% every morning 🙂 )..  So I turned off fast charging option.. You can do that.. Its will not affect  batteryMONSTER :1. Battery :- 5/5Two day battery standby for normal easy2.Display:- 4.99/5Super amaload with full hd.. Superb Display3.Design:3/5It has a6000Mah battery,  still looking not bulky. Noglass body,  but who cares after you put a back cover..  In my opinion, don't spend more money for glass body if you uses back covers4. Camera: 3/5Back camera pretty good but front camera's low light output is very low..  many features available such as slow and super slow videos available..5. OS&UI:- 5/5Android 10 with One UI6.Finger print reader and face lock 3/5 Face lock and finger print reader are not so fast7.Processor and performance 3.5/5Exynos 9611 is not meant for PUBG gamers  .. But for me its perfect as I am not a heavy gamer..  No lag ang hang till now..  but processor is outdated..8. Charging :2.5/5. No fast charging.. Provided with a 15W charger and iy takes about 3 Hrs to fully reacharge the phone9. Accessories : 2/5No earphone, No Back cover, No Screenguard..  So order backcover and tempered glass when you placing order as its backbody is plastic amd more prone to scratches..10.Loud speaker 1.5/5Loudspeaker sound level is very low.. (Keep earphones)Verdict: For this price  Its the best choice if you are not a hardcore gamer  ...\n\nRead more""]",['\nValue For Money !! Go for it\n'],['4.2 out of 5 stars'],"['\n\n\n\n\n\n\n\nSamsung Galaxy M21 (Midnight Blue, 6GB RAM, 128GB Storage)\n\n\n\n\n\n\n']"
B089MTL51J,"[""\n\n  Thank you samsung and Amazon for timely rakshabandhan delivery.Now for readers this is a review unbiased and written after testing and continuous usage :-Pro's1.Screen ppi is great as entry level device✌2.Battery backup is awesome thanks to samsungs R&D even with .7mamp charger.👀3.Android go version 10 is cute without craps4.Reading pdfs is easy and comfort for eyes atleast samsung has guts to say the truth.5.No lag till now because i dont need gaming other than that all regular even without go apps are nicely running.6.fingerprint and face lock i dont need so good they are not provided.7.Call quality is okay.Speaker is normal.8.For music lovers dowload any music app with equilizer will be fine.9.16gb/32gb and sd card is okay.10.Auto smart memory cleaner(use smart manager in settings once a day) for smooth RAM functioning and ROM cleaning🤗11. Supports OTG as well.Cons1. Camera below average still expected but samsung should work more on this front if they wanna beat chinese phones.2.Not for gamers and thats expected buy a 4gb Ram 🤔 based phone why reading me?😉3.finger print and face lock missing I Can manage but most indians can't.4.Battery takes 3.15 hours to charge to work for 12 hours of calling and surfing and thats not bad at all but can be issue for chinese phone lovers who have habit of charging again and again to play pubg.Overall out of 5.Camera-2  Gui-4  Screen ppi-5  speed-4  android-4Don't buy a phone only because of specifications must see integration and longevity overall a nice secondary option and primary for featured phone switchers.\n\nRead more""]",['\n#samsunghitsbullseye\n'],['3.1 out of 5 stars'],"['\n\n\n\n\n\n\n\nSamsung Galaxy M01 Core (Black, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers\n\n\n\n\n\n\n']"
B07DJCJBB3,"[""\n\n  Honest review for a Honest Samsung phone. I am writing this review after using M31s for more than half month. And my verdict based on truly improved Samsung M series with my experience & tested after usage only.BUILD QUALITY. Superior, as it matches any S series flagship premium in classy look, strong built for this budget amount. My hand is small but still I found 6.5 inches display is good to handle as it is well managed for one hand use also.DISPLAY & FINGERPRINT.With Samsung SuperAmoled display you can truly trust the amazing view angle. Now in M31s feature of Widevine L Certification you can enjoy all those global Dolby theatre experience. I found it reliable for my 1920p to 4k level of movie watching without any distraction due to Infinite O display which gives Full Screen Ratio. Fingerprint on side is much faster than I expected. It doesn't takes a second also to open. Even FaceUnlock is faster.BATTERY.Main benefit of this midrange M series is it's maasive 6000mAh battery which gave me enough juice for nearly 3 days continuously. Tested.CAMERA.This time M series did a honest job by giving us a INTELLI camera of 64 mwgapixel with Single Take feature. Samsung gives what it advertises. Which made me to stick to Samsung brand. My usage of Camera is high & I found no complaints at all in focusing a shoot. Good color saturated. Well bright night shots. Macro shots r OSM. The depth & clarity of 64 megapixel is more developed in this M31s model. So no complaints.PROCESSOR.After using for more than half month I must say, Exynos 9611 works wonderful liquid speed when it is combined with LPDDR4X RAM technology. I have not faced any lag in PUBG or ASPHALT-9 hight end games, in medium setting which is good for battery saving. So 2.3Ghz speed accomplished. No complaints for the budget spent.SOUND QUALITY.After using for hours I found the Speaker this time Samsung made is much improved with Bass Stereo which was missing earlier. The in-ear delivers your ear the pure Dolby Atmos with clear precision and crystal clear bass effect.Bang for the bucks go for it. Thanks Amazon for Safe delivery.\n\nRead more""]",['\nHONEST M31s. HONEST PERFORMANCE. HONEST PRICE.\n'],['4.3 out of 5 stars'],"['\n\n\n\n\n\n\n\nSamsung Galaxy M31s (Mirage Blue, 6GB RAM, 128GB Storage)\n\n\n\n\n\n\n']"
B07KXCKPZZ,['\n\n  Phone looks absolutely top class. Will update this review after 7days of use.Should have fingerprint sensor.\n\nRead more'],['\nValue for money if it has 3gb ram\n'],['4.1 out of 5 stars'],"['\n\n\n\n\n\n\n\nVivo Y91i (Ocean Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers\n\n\n\n\n\n\n']"
B07X1KSWZ3,"['\n\n  \xa0Defective product shipped.. reported within a  few  hours of receipt and no one showed up for inspection despite several follow ups. Now, it is not being replaced or refunded. Horrible experience!!\n\nRead more']","[""\nPray you don't receive a defective product\n""]",['4.0 out of 5 stars'],"['\n\n\n\n\n\n\n\nRedmi 8A Dual (Sky White, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery\n\n\n\n\n\n\n']"
B07X92QPJ4,['\n\n  Camera sound off option is not there.Both camera are below average quality.In settings options are very less. OS is not good.Overall not a good phone.\n\nRead more'],['\nWaste of money\n'],['3.2 out of 5 stars'],"['\n\n\n\n\n\n\n\nCoolpad Cool 5 (Midnight Blue, 4GB RAM, 64GB Storage)\n\n\n\n\n\n\n']"
